mcpas_ae	mcpas_lstm	vdjdb_ae	vdjdb_lstm
0.768	0.784	0.736	0.48
0.756	0.770	0.723	0.48
0.623	0.652	0.740	0.35
0.909	0.915	0.813	0.799
0.893	0.900	0.786	0.770
0.882	0.914	0.944	0.925
0.798	0.806	0.758	0.756
0.782	0.791	0.737	0.738
0.595	0.611	0.814	0.777
0.858	0.861	0.788	0.787
0.846	0.852	0.772	0.774
0.872	0.943	0.833	0.703
0.831	0.855	0.783	0.800
0.806	0.832	0.751	0.767
0.766	0.652	0.666	0.685
0.920	0.925	0.833	0.835
0.903	0.913	0.801	0.805
0.894	0.900	0.611	0.666
0.936	0.939	0.832	0.849
0.924	0.928	0.800	0.818
0.897	0.925	0.962	0.833
0.935	0.933	0.862	0.866
0.922	0.923	0.834	0.840
0.946	0.927	0.870	0.851
